Dish,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Dum Aloo,140,1.0,11.0,22.5,1.1,230
Sarson da Saag,170,1.0,7.5,25.0,1.2,200
Makki di Roti,125,1.0,5.0,17.5,1.0,180
Mysore Pak,90,5.0,1.5,15.0,0.8,120
Bisi Bele Bath,95,1.0,2.0,14.0,0.9,150
Macher Jhol,185,0.5,10.0,25.0,1.5,250
Mutton Korma,165,1.5,9.0,22.5,1.3,230
Vegetable Pulao,160,1.0,7.0,25.0,1.2,220
Kozhukattai,75,0.5,2.5,10.0,0.7,130
Chicken Chettinad,125,0.5,6.0,20.0,1.0,180
Korma,175,1.0,8.0,22.5,1.4,250
Sambar,70,1.0,4.0,15.0,0.8,140
Lemon Rice,65,1.5,2.0,14.0,0.7,130
Pongal,150,1.5,10.0,22.5,1.3,210
Vegetable Khichdi,120,0.5,9.0,21.0,1.2,200
Beef Curry,100,2.0,2.5,20.0,0.9,170
Egg Curry,75,0.5,4.0,17.5,0.9,150
Amritsari Kulcha,95,1.0,3.0,19.0,1.0,180
Chicken Manchurian,90,0.5,4.0,16.0,0.8,150
Prawn Biryani,140,1.0,6.0,22.5,1.3,220
Paal Payasam,135,0.5,10.0,25.0,1.1,210
Mango Lassi,160,1.5,12.5,24.0,1.5,240
Aloo Tikki,145,1.0,5.0,15.0,0.9,150
Kathi Roll,140,1.0,7.5,21.0,1.1,200
Medu Vada,100,0.5,4.0,17.5,0.8,180
Thalipeeth,85,1.0,2.5,15.0,0.7,130
Mysore Masala Dosa,160,1.0,6.0,20.0,1.1,200
Paniyaram,120,0.5,8.0,18.0,1.1,200
Chicken Shawarma,140,1.0,7.0,20.0,0.9,220
Mutton Biryani,110,0.5,6.0,17.0,1.0,180
Tomato Rasam,130,1.5,9.0,21.0,0.8,190
